phage_seqname	bact_access	dsDNAphage	ssDNA	RNA	NCLDV	lavidaviridae	max_score	max_score_group	length	hallmark	viral	cellular
CP020554.1||1_partial	CP020554.1	0.92	0	0	0.06	0.007	0.92	dsDNAphage	57960	12	31.8	24.7
CP019794.1||0_partial	CP019794.1	0.907	0	0	0.007	0	0.907	dsDNAphage	137295	10	26	21
CP019794.1||1_partial	CP019794.1	0.92	0	0	0.033	0	0.92	dsDNAphage	148542	14	32.5	23.7
CP019794.1||2_partial	CP019794.1	0.9	0	0	0.007	0.007	0.9	dsDNAphage	122873	15	33.3	22.4
CP019794.1||3_partial	CP019794.1	0.9	0	0	0.013	0	0.9	dsDNAphage	121309	10	32	23.3
CP019794.1||4_partial	CP019794.1	0.9	0	0	0.007	0.007	0.9	dsDNAphage	72280	5	26.2	29
CP019687.1||0_partial	CP019687.1	0.9	0	0	0.027	0	0.9	dsDNAphage	145859	14	32	23.9
CP019687.1||1_partial	CP019687.1	0.94	0	0	0.013	0	0.94	dsDNAphage	117591	12	33.5	17.3
CP019687.1||2_partial	CP019687.1	0.92	0	0	0.007	0	0.92	dsDNAphage	116924	13	27.9	30.3
CP019687.1||3_partial	CP019687.1	0.907	0	0	0.02	0	0.907	dsDNAphage	103277	10	27.6	20.2
CP019687.1||4_partial	CP019687.1	0.9	0	0	0.027	0	0.9	dsDNAphage	104622	9	30.1	29.3
CP019687.1||5_partial	CP019687.1	0.907	0	0	0.027	0	0.907	dsDNAphage	59730	4	30.8	30.8
ADZY03000002.1||0_partial	ADZY03000002.1	0.9	0	0	0.04	0.013	0.9	dsDNAphage	10311	1	30.4	43.5
CH981398.1||0_partial	CH981398.1	0.847	0	0	0.007	0.013	0.847	dsDNAphage	23678	1	25	18.8
CP020327.1||0_partial	CP020327.1	0.9	0	0	0.033	0	0.9	dsDNAphage	385080	33	33.6	23.7
CP020327.1||1_partial	CP020327.1	0.9	0	0	0.007	0	0.9	dsDNAphage	149240	10	29.4	23.5
CP020327.1||2_partial	CP020327.1	0.9	0	0	0.013	0	0.9	dsDNAphage	140043	8	28.5	22.3
CP020327.1||3_partial	CP020327.1	0.9	0	0	0.033	0	0.9	dsDNAphage	53282	4	35.8	29.9
CP020327.1||4_partial	CP020327.1	0.887	0	0	0.033	0	0.887	dsDNAphage	22110	1	29.7	18.9
CP020327.1||5_partial	CP020327.1	0.907	0	0.01	0.033	0.027	0.907	dsDNAphage	9732	1	26.1	34.8
CP020328.1||0_partial	CP020328.1	0.92	0	0	0.04	0	0.92	dsDNAphage	31048	1	24.5	24.5
CP003355.1||0_partial	CP003355.1	0.913	0	0	0.02	0	0.913	dsDNAphage	129354	7	28.2	21.3
CP003355.1||1_partial	CP003355.1	0.893	0	0	0.007	0	0.893	dsDNAphage	62525	3	17.3	33.7
CP003355.1||2_partial	CP003355.1	0.9	0	0	0.033	0	0.9	dsDNAphage	57152	6	39.3	33.3
CP003355.1||3_partial	CP003355.1	0.88	0.007	0	0.007	0.013	0.88	dsDNAphage	12946	1	26.7	30
CP019652.1||0_partial	CP019652.1	0.927	0	0	0.02	0	0.927	dsDNAphage	131833	7	27.7	22
CP019652.1||1_partial	CP019652.1	0.893	0	0	0.007	0	0.893	dsDNAphage	62525	3	17.3	33.7
CP019652.1||2_partial	CP019652.1	0.9	0	0	0.033	0	0.9	dsDNAphage	57152	6	39.3	33.3
CP019652.1||3_partial	CP019652.1	0.88	0.007	0	0.007	0.013	0.88	dsDNAphage	12946	1	26.7	30
ADFW01000001.1||0_partial	ADFW01000001.1	0.9	0	0	0.007	0	0.9	dsDNAphage	322798	25	31.1	24.2
ADFW01000001.1||1_partial	ADFW01000001.1	0.9	0	0	0.007	0	0.9	dsDNAphage	282841	22	30.8	24.8
ADFW01000001.1||2_partial	ADFW01000001.1	0.9	0	0	0.007	0	0.9	dsDNAphage	123242	8	27.7	16.9
ADFW01000001.1||3_partial	ADFW01000001.1	0.92	0	0	0.033	0	0.92	dsDNAphage	121403	11	32.5	25.8
ADFW01000001.1||4_partial	ADFW01000001.1	0.987	0.013	0	0.027	0.007	0.987	dsDNAphage	90252	13	54.2	9.2
ADFW01000001.1||5_partial	ADFW01000001.1	0.9	0	0	0.02	0	0.9	dsDNAphage	83348	18	38.2	24.5
ADFW01000001.1||6_partial	ADFW01000001.1	0.907	0	0	0.033	0	0.907	dsDNAphage	59878	4	30.8	30.8
ADFW01000001.1||7_partial	ADFW01000001.1	0.9	0	0	0.04	0.013	0.9	dsDNAphage	10311	1	30.4	43.5
ADFW01000002.1||0_partial	ADFW01000002.1	0.96	0	0	0.027	0.013	0.96	dsDNAphage	62494	10	55.1	10.3
CP019651.1||0_partial	CP019651.1	0.9	0	0	0.007	0	0.9	dsDNAphage	172465	13	32.5	30.1
CP019651.1||1_partial	CP019651.1	0.9	0	0	0.02	0	0.9	dsDNAphage	150549	9	27	24
CP019651.1||2_partial	CP019651.1	0.9	0	0	0.04	0	0.9	dsDNAphage	146275	14	32.4	23.4
CP019651.1||3_partial	CP019651.1	0.907	0	0	0.02	0	0.907	dsDNAphage	138789	13	32.2	24.6
CP019651.1||4_partial	CP019651.1	0.907	0	0	0.02	0	0.907	dsDNAphage	112568	8	31.8	26.5
CP019651.1||5_partial	CP019651.1	0.9	0	0	0	0	0.9	dsDNAphage	53319	4	28.8	35
CP019651.1||6_partial	CP019651.1	0.853	0	0	0	0	0.853	dsDNAphage	21288	1	20	17.5
CP019655.1||0_partial	CP019655.1	0.907	0	0	0.033	0	0.907	dsDNAphage	518260	42	33.2	22.5
CP019655.1||1_partial	CP019655.1	0.9	0	0	0.007	0	0.9	dsDNAphage	199490	13	31.6	26.6
CP019655.1||2_partial	CP019655.1	0.913	0	0	0.013	0	0.913	dsDNAphage	142254	8	29.1	22.3
CP019655.1||3_partial	CP019655.1	0.927	0	0	0.04	0.007	0.927	dsDNAphage	132106	13	32.2	25.7
CP019655.1||4_partial	CP019655.1	0.9	0	0	0.007	0	0.9	dsDNAphage	60845	4	29.5	30.7
CP019657.1||0_partial	CP019657.1	0.88	0	0	0.113	0	0.88	dsDNAphage	23520	1	23.8	21.4
CP019659.1||0_partial	CP019659.1	0.907	0	0	0.02	0	0.907	dsDNAphage	160383	15	32.3	24.2
CP019659.1||1_partial	CP019659.1	0.913	0	0	0.013	0	0.913	dsDNAphage	142188	8	29.1	22.3
CP019659.1||2_partial	CP019659.1	0.9	0	0	0.033	0	0.9	dsDNAphage	125598	11	32.1	25.9
CP019659.1||3_partial	CP019659.1	0.907	0	0	0.02	0	0.907	dsDNAphage	120998	10	32.4	24.8
CP019659.1||4_partial	CP019659.1	0.9	0	0	0.007	0.007	0.9	dsDNAphage	72132	4	26	31
CP019659.1||5_partial	CP019659.1	0.907	0	0.01	0.033	0.027	0.907	dsDNAphage	9732	1	26.1	34.8
CP019660.1||0_partial	CP019660.1	0.88	0	0	0.113	0	0.88	dsDNAphage	23519	1	23.8	21.4
CP019717.1||0_partial	CP019717.1	0.9	0	0	0.02	0	0.9	dsDNAphage	562029	39	32	23.2
CP019717.1||1_partial	CP019717.1	0.9	0	0	0.02	0	0.9	dsDNAphage	320585	16	28.1	23
CP019717.1||2_partial	CP019717.1	0.907	0	0	0.013	0	0.907	dsDNAphage	183865	13	30.4	24.4
CP019717.1||3_partial	CP019717.1	0.9	0	0	0.013	0	0.9	dsDNAphage	153770	11	27.3	25.4
CP019717.1||4_partial	CP019717.1	0.92	0	0	0.107	0.007	0.92	dsDNAphage	91671	10	36.7	15.1
CP019717.1||5_partial	CP019717.1	0.9	0	0	0.013	0	0.9	dsDNAphage	60565	4	27.3	35.2
CP019717.1||6_partial	CP019717.1	0.927	0	0	0.047	0	0.927	dsDNAphage	52143	8	29.2	20
LAWY01000002.1||0_partial	LAWY01000002.1	0.9	0	0	0.04	0.013	0.9	dsDNAphage	10311	1	30.4	43.5
LAWY01000028.1||0_partial	LAWY01000028.1	0.92	0.007	0	0.007	0.007	0.92	dsDNAphage	13550	1	33.3	16.7
CP020557.1||0_partial	CP020557.1	0.92	0	0	0	0	0.92	dsDNAphage	195876	12	29.2	22.8
CP020557.1||1_partial	CP020557.1	0.9	0	0	0.013	0	0.9	dsDNAphage	168646	11	25.6	23.6
CP020557.1||2_partial	CP020557.1	0.9	0	0	0.013	0	0.9	dsDNAphage	165735	12	28	20.7
CP020557.1||3_partial	CP020557.1	0.913	0	0	0.027	0	0.913	dsDNAphage	172674	11	31	22.9
CP020557.1||4_partial	CP020557.1	0.9	0	0	0.007	0	0.9	dsDNAphage	161003	12	32.1	28.4
CP020557.1||5_partial	CP020557.1	0.907	0	0	0.013	0	0.907	dsDNAphage	67149	8	27.3	24.2
CP020557.1||6_partial	CP020557.1	0.907	0	0	0	0	0.907	dsDNAphage	63354	4	26.8	30.9
CP020557.1||7_partial	CP020557.1	0.927	0	0	0.007	0	0.927	dsDNAphage	56291	9	24.7	22.2
CP020557.1||8_partial	CP020557.1	0.98	0	0	0.08	0.007	0.98	dsDNAphage	26946	8	40	5.7
CP020557.1||9_partial	CP020557.1	0.833	0	0	0.007	0.013	0.833	dsDNAphage	35461	5	27.9	37.2
NAGY01000049.1||0_partial	NAGY01000049.1	0.927	0.007	0	0.233	0.033	0.927	dsDNAphage	24640	1	25.6	25.6
NAGY01000055.1||0_partial	NAGY01000055.1	0.967	0	0	0.167	0.007	0.967	dsDNAphage	22083	8	39.3	32.1
NAHB01000052.1||0_partial	NAHB01000052.1	0.967	0	0	0.16	0.02	0.967	dsDNAphage	21749	8	40.7	33.3
NAHD01000066.1||0_partial	NAHD01000066.1	0.9	0	0	0.087	0	0.9	dsDNAphage	42370	8	22.8	31.6
NAHH01000050.1||0_partial	NAHH01000050.1	0.9	0	0	0.087	0	0.9	dsDNAphage	42370	8	22.8	31.6
NAHH01000047.1||0_partial	NAHH01000047.1	0.86	0.007	0.01	0.18	0.053	0.86	dsDNAphage	16463	1	22.2	33.3
NAGW01000085.1||0_partial	NAGW01000085.1	0.847	0	0	0.16	0.013	0.847	dsDNAphage	15701	1	19.4	22.6
NAGW01000048.1||0_partial	NAGW01000048.1	0.94	0.013	0	0.24	0.073	0.94	dsDNAphage	12605	1	40	13.3
MVDP01000055.1||0_partial	MVDP01000055.1	0.967	0	0	0.06	0.013	0.967	dsDNAphage	20917	8	44	36
MVDP01000030.1||0_partial	MVDP01000030.1	0.94	0.013	0	0.24	0.073	0.94	dsDNAphage	12605	1	40	13.3
MVDP01000061.1||0_partial	MVDP01000061.1	0.847	0	0	0.16	0.013	0.847	dsDNAphage	15701	1	19.4	22.6
NXEN01000063.1||0_partial	NXEN01000063.1	0.9	0	0	0.027	0.007	0.9	dsDNAphage	35848	1	17.5	26.3
NXEN01000024.1||0_partial	NXEN01000024.1	0.953	0	0	0.02	0	0.953	dsDNAphage	42342	8	34.7	28.6
QGLS01000009.1||0_partial	QGLS01000009.1	0.92	0	0	0.04	0	0.92	dsDNAphage	77770	8	23.1	34.1
MDVE01000063.1||0_partial	MDVE01000063.1	0.88	0	0	0.073	0	0.88	dsDNAphage	67693	5	22.7	26.7
MDVF01000049.1||0_partial	MDVF01000049.1	0.913	0	0	0.173	0	0.913	dsDNAphage	66069	8	28.2	38
MDVG01000045.1||0_partial	MDVG01000045.1	0.9	0	0	0.027	0.02	0.9	dsDNAphage	79994	15	29.6	28.6
MDVH01000027.1||0_partial	MDVH01000027.1	0.9	0	0	0.147	0	0.9	dsDNAphage	69116	8	28.2	39.4
MDVI01000031.1||0_partial	MDVI01000031.1	0.9	0	0	0.147	0	0.9	dsDNAphage	69116	8	28.2	39.4
MDVI01000042.1||0_partial	MDVI01000042.1	0.867	0.007	0.055	0.173	0.147	0.867	dsDNAphage	26495	3	13.3	16.7
MDUY01000020.1||0_partial	MDUY01000020.1	0.9	0	0	0.013	0	0.9	dsDNAphage	155612	13	25.6	34.8
MDUY01000052.1||0_partial	MDUY01000052.1	0.9	0	0	0.08	0	0.9	dsDNAphage	70535	8	24.7	40.3
MDVJ01000001.1||0_partial	MDVJ01000001.1	0.9	0	0	0.113	0	0.9	dsDNAphage	60495	6	29.5	39.3
MDVJ01000029.1||0_partial	MDVJ01000029.1	0.9	0	0	0.32	0	0.9	dsDNAphage	45163	3	22.6	14.5
MEIU01000057.1||0_partial	MEIU01000057.1	0.907	0	0	0.06	0.007	0.907	dsDNAphage	77899	16	29.9	33
MEIU01000057.1||1_partial	MEIU01000057.1	0.927	0	0	0.14	0.04	0.927	dsDNAphage	24971	4	37.9	20.7
MEIT01000086.1||0_partial	MEIT01000086.1	0.88	0	0	0.04	0.02	0.88	dsDNAphage	25649	1	25	38.6
MEIT01000087.1||0_partial	MEIT01000087.1	0.927	0	0	0.047	0	0.927	dsDNAphage	81035	16	31.2	34.4
MEIX01000029.1||0_partial	MEIX01000029.1	0.913	0	0	0.047	0.007	0.913	dsDNAphage	31932	7	25.5	36.2
NAHQ01000122.1||0_partial	NAHQ01000122.1	0.9	0	0	0.087	0	0.9	dsDNAphage	41389	8	25	36.7
NAHM01000068.1||0_partial	NAHM01000068.1	0.98	0.007	0	0.167	0.073	0.98	dsDNAphage	32186	8	51.3	2.6
NAHN01000079.1||0_partial	NAHN01000079.1	0.907	0	0	0.047	0	0.907	dsDNAphage	33601	8	26	36
NAHO01000037.1||0_partial	NAHO01000037.1	1	0	0	0.1	0.013	1	dsDNAphage	24435	8	43.3	30
NAHO01000035.1||0_partial	NAHO01000035.1	0.927	0	0	0.04	0	0.927	dsDNAphage	59197	8	27.6	26.3
NAHI01000074.1||0_partial	NAHI01000074.1	0.993	0	0	0.093	0.033	0.993	dsDNAphage	58675	10	42.3	11.3
NAHI01000068.1||0_partial	NAHI01000068.1	0.96	0	0	0.167	0.02	0.96	dsDNAphage	19418	8	45.8	37.5
NAHJ01000056.1||0_partial	NAHJ01000056.1	0.987	0	0	0.027	0.007	0.987	dsDNAphage	24613	7	41.4	31
MEIS01000093.1||0_partial	MEIS01000093.1	0.9	0	0	0.033	0.013	0.9	dsDNAphage	35098	2	24.5	22.4
MEIR01000080.1||0_partial	MEIR01000080.1	0.933	0	0	0.16	0	0.933	dsDNAphage	71244	9	30.4	14.7
MEIQ01000028.1||0_partial	MEIQ01000028.1	0.927	0	0	0.08	0.02	0.927	dsDNAphage	63528	8	26.8	19.5
MEIQ01000033.1||0_partial	MEIQ01000033.1	0.913	0	0	0.173	0.007	0.913	dsDNAphage	83719	16	31.5	32.6
MDUZ01000051.1||0_partial	MDUZ01000051.1	0.967	0	0	0.1	0.013	0.967	dsDNAphage	24828	1	28.6	28.6
MEIP01000002.1||0_partial	MEIP01000002.1	0.927	0	0	0.2	0.007	0.927	dsDNAphage	30180	3	31	17.2
MEIP01000010.1||0_partial	MEIP01000010.1	0.94	0	0	0.127	0.013	0.94	dsDNAphage	60652	8	30.3	37.9
MEIP01000018.1||0_partial	MEIP01000018.1	0.92	0	0	0.06	0.007	0.92	dsDNAphage	54947	8	28.4	20.9
MDVA01000035.1||0_partial	MDVA01000035.1	0.9	0	0	0.107	0	0.9	dsDNAphage	67113	8	24.7	40.3
MDVA01000056.1||0_partial	MDVA01000056.1	0.987	0	0	0.32	0.087	0.987	dsDNAphage	33683	3	44.4	5.6
MEIO01000026.1||0_partial	MEIO01000026.1	0.993	0	0	0.14	0.007	0.993	dsDNAphage	37350	9	46.3	12.2
JFZW01000002.1||0_partial	JFZW01000002.1	1	0.007	0	0.353	0.053	1	dsDNAphage	27793	7	44.1	8.8
JFZW01000003.1||0_partial	JFZW01000003.1	0.9	0	0	0.027	0	0.9	dsDNAphage	101689	13	29.2	21.2
JFZW01000003.1||1_partial	JFZW01000003.1	0.973	0.02	0	0.26	0.113	0.973	dsDNAphage	14092	3	52.6	10.5
JFZW01000006.1||0_partial	JFZW01000006.1	0.913	0	0	0.133	0	0.913	dsDNAphage	63640	8	29.4	39.7
CP007446.1||0_partial	CP007446.1	0.9	0	0	0.013	0	0.9	dsDNAphage	140799	9	23.4	27.3
CP007446.1||1_partial	CP007446.1	0.9	0	0	0.073	0.013	0.9	dsDNAphage	123231	16	36.8	30.9
CP007446.1||2_partial	CP007446.1	0.9	0	0	0.04	0	0.9	dsDNAphage	82788	7	21.9	33.3
MEIM01000001.1||0_partial	MEIM01000001.1	0.9	0	0	0.053	0	0.9	dsDNAphage	51588	8	27.3	36.4
MEIM01000001.1||1_partial	MEIM01000001.1	0.987	0.02	0	0.133	0.187	0.987	dsDNAphage	10866	2	69.2	15.4
MEIM01000003.1||0_partial	MEIM01000003.1	0.993	0.047	0.03	0.46	0.187	0.993	dsDNAphage	30702	8	56.8	0
MEIL01000029.1||0_partial	MEIL01000029.1	0.9	0	0	0.047	0	0.9	dsDNAphage	142913	14	30.2	29.6
MEIL01000029.1||1_partial	MEIL01000029.1	0.9	0	0	0.06	0	0.9	dsDNAphage	53483	9	24.3	35.7
JFZV01000005.1||0_partial	JFZV01000005.1	0.92	0	0	0.1	0	0.92	dsDNAphage	66745	8	29	40.6
MEIK01000034.1||0_partial	MEIK01000034.1	0.907	0	0	0.047	0	0.907	dsDNAphage	49602	9	28.6	34.9
MEIJ01000002.1||0_partial	MEIJ01000002.1	0.9	0	0	0.033	0	0.9	dsDNAphage	182153	16	24.1	29.4
MEIJ01000027.1||0_partial	MEIJ01000027.1	0.9	0	0	0.02	0	0.9	dsDNAphage	91602	9	29.4	16.5
MEIJ01000027.1||1_partial	MEIJ01000027.1	0.9	0	0	0.04	0.007	0.9	dsDNAphage	51434	8	26.9	34.3
MEII01000010.1||0_partial	MEII01000010.1	0.9	0	0	0.107	0.02	0.9	dsDNAphage	140503	16	33.3	26.8
MEII01000018.1||0_partial	MEII01000018.1	0.907	0	0	0.047	0.013	0.907	dsDNAphage	49321	8	27.7	35.4
MEIN01000004.1||0_partial	MEIN01000004.1	0.907	0	0	0.067	0	0.907	dsDNAphage	86675	7	22.4	32.7
MEIN01000006.1||0_partial	MEIN01000006.1	0.913	0	0	0.013	0	0.913	dsDNAphage	134693	9	23.3	26
NARO01000080.1||lt2gene	NARO01000080.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1753	2	100	0
NARQ01000078.1||lt2gene	NARQ01000078.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1981	1	100	0
NARQ01000082.1||lt2gene	NARQ01000082.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1572	2	100	0
NARR01000084.1||lt2gene	NARR01000084.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1574	2	100	0
MZNH01000341.1||lt2gene	MZNH01000341.1	nan	nan	nan	nan	nan	nan	dsDNAphage	2469	2	100	0
MZNI01000106.1||lt2gene	MZNI01000106.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1574	2	100	0
QICT01000043.1||lt2gene	QICT01000043.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1965	1	100	0
LZHJ01000014.1||lt2gene	LZHJ01000014.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1708	1	50	0
LZGU01000053.1||lt2gene	LZGU01000053.1	nan	nan	nan	nan	nan	nan	dsDNAphage	2893	1	50	0
MCIU01000024.1||lt2gene	MCIU01000024.1	nan	nan	nan	nan	nan	nan	NCLDV	1963	1	100	0
NARZ01000019.1||lt2gene	NARZ01000019.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1859	2	100	0
NASA01000074.1||lt2gene	NASA01000074.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1760	1	100	0
NASV01000099.1||lt2gene	NASV01000099.1	nan	nan	nan	nan	nan	nan	dsDNAphage	2569	1	50	0
ADZY03000010.1||lt2gene	ADZY03000010.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1617	2	100	0
MEIU01000045.1||lt2gene	MEIU01000045.1	nan	nan	nan	nan	nan	nan	dsDNAphage	1576	2	100	0
MDUZ01000111.1||lt2gene	MDUZ01000111.1	nan	nan	nan	nan	nan	nan	dsDNAphage	2179	1	100	0
